stage,date,home,away,score_85min,score_90min,yakir_guess,final_after_extra_time,penalties,result_changed_85_to_90,home_goal_minutes,away_goal_minutes
Group A,Thu June 11,Mexico,South Africa,2-0,2-0,2-1,,,,9 67,
Group A,Thu June 11,South Korea,Czech Republic,2-1,2-1,1-3,,,,67 80,59
Group A,Thu June 18,Czech Republic,South Africa,1-1,1-1,2-0,,,,6,83
Group A,Thu June 18,Mexico,South Korea,1-0,1-0,1-2,,,,50,
Group A,Wed June 24,Czech Republic,Mexico,0-2,0-3,1-1,,,,,55 61 90+4
Group A,Wed June 24,South Africa,South Korea,1-0,1-0,1-2,,,,63,
Group B,Fri June 12,Canada,Bosnia & Herzegovina,1-1,1-1,1-0,,,,78,21
Group B,Sat June 13,Qatar,Switzerland,0-1,1-1,0-3,,,yes,90+4,17
Group B,Thu June 18,Switzerland,Bosnia & Herzegovina,2-0,4-1,3-1,,,,74 90 84 90+7,90+3
Group B,Thu June 18,Canada,Qatar,5-0,6-0,0-0,,,,16 29 45+3 64 75 90+2,
Group B,Wed June 24,Switzerland,Canada,2-1,2-1,2-2,,,,46 57,76
Group B,Wed June 24,Bosnia & Herzegovina,Qatar,3-1,3-1,0-0,,,,29 34 80,42
Group C,Sat June 13,Brazil,Morocco,1-1,1-1,2-2,,,,32,21
Group C,Sat June 13,Haiti,Scotland,0-1,0-1,1-4,,,,,28
Group C,Fri June 19,Scotland,Morocco,0-1,0-1,1-2,,,,,2
Group C,Fri June 19,Brazil,Haiti,3-0,3-0,4-0,,,,23 36 45+3,
Group C,Wed June 24,Scotland,Brazil,0-3,0-3,0-1,,,,,7 45+3 60
Group C,Wed June 24,Morocco,Haiti,3-2,4-2,2-0,,,,39 45+1 78 89,10 43
Group D,Fri June 12,USA,Paraguay,3-1,4-1,1-0,,,,7 31 45+5 90+8,73
Group D,Sat June 13,Australia,Turkey,2-0,2-0,1-3,,,,27 75,
Group D,Fri June 19,USA,Australia,2-0,2-0,2-1,,,,11 43,
Group D,Fri June 19,Turkey,Paraguay,0-1,0-1,1-1,,,,,2
Group D,Thu June 25,Turkey,USA,2-2,3-2,1-3,,,yes,10 31 90+8,3 49
Group D,Thu June 25,Paraguay,Australia,0-0,0-0,0-1,,,,,
Group E,Sun June 14,Germany,Curaçao,6-1,7-1,5-1,,,,6 38 45+5 88 47 68 78,21
Group E,Sun June 14,Ivory Coast,Ecuador,0-0,1-0,2-0,,,yes,90,
Group E,Sat June 20,Germany,Ivory Coast,1-1,2-1,4-0,,,yes,68 90+4,30
Group E,Sat June 20,Ecuador,Curaçao,0-0,0-0,2-0,,,,,
